1535499600000,7106.01000000,7113.00000000,7106.00000000,7108.05000000,88.95085600,1535499899999,632220.02718144,512,50.74413100,360677.35638390,0
1535499900000,7109.81000000,7112.88000000,7071.88000000,7090.20000000,124.47078600,1535500199999,882802.53028388,1022,50.00704300,354795.10387342,0
1535500200000,7090.20000000,7094.91000000,7058.01000000,7082.37000000,238.17247100,1535500499999,1684816.84700455,1083,101.36467500,717078.71145250,0
1535500500000,7081.98000000,7085.44000000,7070.01000000,7076.11000000,186.75498100,1535500799999,1321639.95056013,658,82.19946100,581697.31627272,0
1535500800000,7077.00000000,7078.62000000,7065.10000000,7072.02000000,122.49768000,1535501099999,866419.23337917,631,46.87980500,331572.41752920,0
1535501100000,7073.22000000,7089.94000000,7072.00000000,7085.08000000,101.47312700,1535501399999,718737.89842653,712,47.37766000,335578.24093183,0
1535501400000,7081.11000000,7084.36000000,7073.10000000,7081.00000000,89.18644000,1535501699999,631235.79135942,534,61.69225800,436636.04050867,0
1535501700000,7081.00000000,7089.99000000,7070.04000000,7070.04000000,168.03046700,1535501999999,1189673.15770703,595,81.93782600,580151.18764769,0
1535502000000,7070.04000000,7074.77000000,7061.66000000,7068.62000000,188.72346300,1535502299999,1334168.76783089,634,93.98640500,664477.59732888,0
1535502300000,7068.63000000,7082.85000000,7065.44000000,7071.74000000,117.75559500,1535502599999,832855.44059459,620,58.63870200,414741.09799578,0
1535502600000,7071.00000000,7073.25000000,7059.88000000,7063.01000000,74.38111800,1535502899999,525565.58267136,609,47.57342400,336198.69258873,0
1535502900000,7063.01000000,7070.18000000,7060.74000000,7062.59000000,75.45697000,1535503199999,533010.85960164,579,57.00135700,402653.97628986,0
1535503200000,7063.75000000,7065.38000000,7048.66000000,7054.99000000,114.21109000,1535503499999,805787.17799279,929,57.65254700,406804.70947959,0
1535503500000,7054.99000000,7067.00000000,7050.88000000,7060.07000000,60.93095000,1535503799999,430193.46126938,519,32.99272600,232961.59605242,0
1535503800000,7060.06000000,7075.43000000,7051.88000000,7071.84000000,132.90660800,1535504099999,938841.64611104,691,91.76673700,648241.14974805,0
1535504100000,7071.84000000,7077.99000000,7069.01000000,7071.02000000,105.42519200,1535504399999,745774.84156720,449,36.86691800,260790.78458043,0
1535504400000,7073.23000000,7088.00000000,7073.23000000,7083.00000000,86.25260100,1535504699999,610896.81731664,507,46.73003100,330954.85769080,0
1535504700000,7084.89000000,7087.27000000,7080.00000000,7085.56000000,50.26672200,1535504999999,356066.89434683,546,25.62445100,181521.46588853,0
1535505000000,7085.56000000,7088.20000000,7080.54000000,7085.56000000,46.91198700,1535505299999,332377.52477956,460,34.12448100,241789.86058097,0
1535505300000,7085.57000000,7086.00000000,7077.87000000,7078.30000000,81.65791600,1535505599999,578317.17211566,570,40.10644700,284027.59339633,0
1535505600000,7079.97000000,7085.00000000,7078.32000000,7083.80000000,118.38604700,1535505899999,838318.49569658,537,74.32166800,526306.76513059,0
1535505900000,7083.80000000,7084.99000000,7068.00000000,7073.84000000,151.58430400,1535506199999,1073333.85822532,575,57.33615200,405991.11327657,0
1535506200000,7073.84000000,7076.14000000,7060.12000000,7064.97000000,59.82410600,1535506499999,422842.26814460,677,36.97529400,261351.03026248,0
1535506500000,7064.88000000,7071.62000000,7064.00000000,7066.00000000,42.26880500,1535506799999,298733.31749802,520,22.11033000,156271.35517988,0
1535506800000,7067.98000000,7070.00000000,7053.29000000,7057.91000000,169.36826100,1535507099999,1195613.49924931,497,92.73252700,654615.96925935,0
1535507100000,7055.01000000,7057.99000000,7041.08000000,7054.97000000,170.44831400,1535507399999,1201360.78288053,994,99.41626100,700728.15359665,0
1535507400000,7054.97000000,7064.74000000,7052.41000000,7064.74000000,157.37131400,1535507699999,1110871.08389978,592,88.12222500,622075.47972235,0
1535507700000,7064.74000000,7065.61000000,7056.11000000,7062.95000000,125.65179000,1535507999999,887348.98791317,524,90.48138700,638993.41427510,0
1535508000000,7059.01000000,7076.14000000,7059.01000000,7072.27000000,69.97123600,1535508299999,494641.16804564,635,45.30948200,320283.47605597,0
1535508300000,7072.27000000,7074.39000000,7062.93000000,7068.38000000,157.09148200,1535508599999,1110346.66270662,449,101.61788800,718290.76111181,0
1535508600000,7067.32000000,7068.46000000,7060.40000000,7065.43000000,83.54511600,1535508899999,590293.77608176,514,66.15930100,467466.99744950,0
1535508900000,7065.50000000,7065.53000000,7056.21000000,7056.25000000,146.08639900,1535509199999,1031382.48286424,673,88.52993700,625076.21775822,0
1535509200000,7057.89000000,7058.00000000,7046.77000000,7049.98000000,100.47056900,1535509499999,708512.29712301,780,42.01180700,296239.15923437,0
1535509500000,7049.98000000,7055.00000000,7028.62000000,7032.29000000,237.65890600,1535509799999,1674170.60715029,1270,121.51090500,856090.14249890,0
1535509800000,7033.95000000,7045.57000000,7017.25000000,7041.44000000,294.90524500,1535510099999,2072781.18496213,1677,140.24725600,985823.95178535,0
1535510100000,7041.44000000,7048.04000000,7039.72000000,7046.29000000,106.74488900,1535510399999,751785.01574951,833,63.66178600,448372.67135960,0
1535510400000,7046.29000000,7052.60000000,7038.25000000,7041.03000000,182.50107900,1535510699999,1285515.68138308,755,115.55678200,814040.54477981,0
1535510700000,7041.03000000,7042.00000000,7027.77000000,7038.00000000,70.63270200,1535510999999,496892.60854334,828,37.09194400,260954.11735634,0
1535511000000,7033.64000000,7043.01000000,7031.00000000,7034.63000000,117.47077700,1535511299999,826519.33399705,690,62.06710600,436736.57693054,0
1535511300000,7034.63000000,7034.65000000,7018.11000000,7024.45000000,138.37939000,1535511599999,972256.58439057,1128,60.55120400,425438.73626034,0
1535511600000,7024.45000000,7035.08000000,7018.44000000,7026.02000000,134.70555400,1535511899999,946505.32597902,1007,62.50071800,439223.92164565,0
1535511900000,7026.02000000,7026.99000000,7015.20000000,7015.21000000,223.81362800,1535512199999,1571038.12954049,1130,106.06425300,744620.95269681,0
1535512200000,7015.21000000,7030.00000000,7006.05000000,7020.38000000,340.61175400,1535512499999,2389928.26505160,1681,142.17094600,997775.39562794,0
1535512500000,7019.51000000,7027.92000000,7014.16000000,7019.58000000,158.03032300,1535512799999,1109270.63711984,1082,95.86783400,672954.74354777,0
1535512800000,7021.77000000,7046.42000000,7019.57000000,7043.01000000,128.28706700,1535513099999,902523.90707348,1057,66.78365500,469727.56712635,0
1535513100000,7043.01000000,7045.68000000,7035.13000000,7037.09000000,107.60736600,1535513399999,757510.64367870,749,64.53971000,454336.42968449,0
1535513400000,7038.45000000,7043.97000000,7036.00000000,7041.81000000,66.30942500,1535513699999,466860.54634978,643,47.33250400,333251.28559919,0
